MATHEMATICAL BOLD ITALIC CAPITAL IOTA;;1D724;;𝜤;;1D724
MATHEMATICAL BOLD ITALIC SMALL IOTA;;1D73E;;𝜾;;1D73E
MATHEMATICAL SANS-SERIF BOLD CAPITAL IOTA;;1D75E;;𝝞;;1D75E
MATHEMATICAL SANS-SERIF BOLD SMALL IOTA;;1D778;;𝝸;;1D778
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL IOTA;;1D798;;𝞘;;1D798
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL IOTA;;1D7B2;;𝞲;;1D7B2
GREEK SMALL LETTER IOTA WITH VARIA;;1F76;;ὶ;;03B9 0300
GREEK CAPITAL LETTER IOTA WITH VARIA;;1FDA;;Ὶ;;0399 0300
GREEK CAPITAL LETTER IOTA WITH TONOS;;038A;;Ί;;0399 0301
GREEK SMALL LETTER IOTA WITH TONOS;;03AF;;ί;;03B9 0301
GREEK SMALL LETTER IOTA WITH OXIA;;1F77;;ί;;03B9 0301
GREEK CAPITAL LETTER IOTA WITH OXIA;;1FDB;;Ί;;0399 0301
GREEK SMALL LETTER IOTA WITH MACRON;;1FD1;;ῑ;;03B9 0304
GREEK CAPITAL LETTER IOTA WITH MACRON;;1FD9;;Ῑ;;0399 0304
GREEK SMALL LETTER IOTA WITH VRACHY;;1FD0;;ῐ;;03B9 0306
GREEK CAPITAL LETTER IOTA WITH VRACHY;;1FD8;;Ῐ;;0399 0306
GREEK CAPITAL LETTER IOTA WITH DIALYTIKA;;03AA;;Ϊ;;0399 0308
GREEK SMALL LETTER IOTA WITH DIALYTIKA;;03CA;;ϊ;;03B9 0308
GREEK SMALL LETTER IOTA WITH DIALYTIKA AND VARIA;;1FD2;;ῒ;;03B9 0308 0300
GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS;;0390;;ΐ;;03B9 0308 0301
GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA;;1FD3;;ΐ;;03B9 0308 0301
GREEK SMALL LETTER IOTA WITH DIALYTIKA AND PERISPOMENI;;1FD7;;ῗ;;03B9 0308 0342
GREEK SMALL LETTER IOTA WITH PSILI;;1F30;;ἰ;;03B9 0313
GREEK CAPITAL LETTER IOTA WITH PSILI;;1F38;;Ἰ;;0399 0313
GREEK SMALL LETTER IOTA WITH PSILI AND VARIA;;1F32;;ἲ;;03B9 0313 0300
GREEK CAPITAL LETTER IOTA WITH PSILI AND VARIA;;1F3A;;Ἲ;;0399 0313 0300
GREEK SMALL LETTER IOTA WITH PSILI AND OXIA;;1F34;;ἴ;;03B9 0313 0301
GREEK CAPITAL LETTER IOTA WITH PSILI AND OXIA;;1F3C;;Ἴ;;0399 0313 0301
GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI;;1F36;;ἶ;;03B9 0313 0342
GREEK CAPITAL LETTER IOTA WITH PSILI AND PERISPOMENI;;1F3E;;Ἶ;;0399 0313 0342
GREEK SMALL LETTER IOTA WITH DASIA;;1F31;;ἱ;;03B9 0314
GREEK CAPITAL LETTER IOTA WITH DASIA;;1F39;;Ἱ;;0399 0314
GREEK SMALL LETTER IOTA WITH DASIA AND VARIA;;1F33;;ἳ;;03B9 0314 0300
GREEK CAPITAL LETTER IOTA WITH DASIA AND VARIA;;1F3B;;Ἳ;;0399 0314 0300
GREEK SMALL LETTER IOTA WITH DASIA AND OXIA;;1F35;;ἵ;;03B9 0314 0301
GREEK CAPITAL LETTER IOTA WITH DASIA AND OXIA;;1F3D;;Ἵ;;0399 0314 0301
GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI;;1F37;;ἷ;;03B9 0314 0342
GREEK CAPITAL LETTER IOTA WITH DASIA AND PERISPOMENI;;1F3F;;Ἷ;;0399 0314 0342
GREEK SMALL LETTER IOTA WITH PERISPOMENI;;1FD6;;ῖ;;03B9 0342
GREEK KAPPA SYMBOL;;03F0;;ϰ;;03F0
MATHEMATICAL BOLD CAPITAL KAPPA;;1D6B1;;𝚱;;1D6B1
MATHEMATICAL BOLD SMALL KAPPA;;1D6CB;;𝛋;;1D6CB
MATHEMATICAL BOLD KAPPA SYMBOL;;1D6DE;;𝛞;;1D6DE
MATHEMATICAL ITALIC CAPITAL KAPPA;;1D6EB;;𝛫;;1D6EB
MATHEMATICAL ITALIC SMALL KAPPA;;1D705;;𝜅;;1D705
MATHEMATICAL ITALIC KAPPA SYMBOL;;1D718;;𝜘;;1D718
MATHEMATICAL BOLD ITALIC CAPITAL KAPPA;;1D725;;𝜥;;1D725
MATHEMATICAL BOLD ITALIC SMALL KAPPA;;1D73F;;𝜿;;1D73F
MATHEMATICAL BOLD ITALIC KAPPA SYMBOL;;1D752;;𝝒;;1D752
MATHEMATICAL SANS-SERIF BOLD CAPITAL KAPPA;;1D75F;;𝝟;;1D75F
MATHEMATICAL SANS-SERIF BOLD SMALL KAPPA;;1D779;;𝝹;;1D779
MATHEMATICAL SANS-SERIF BOLD KAPPA SYMBOL;;1D78C;;𝞌;;1D78C
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL KAPPA;;1D799;;𝞙;;1D799
